ICAO;NAME;ELEVEATION IN FT;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH
PATA;CALHOUN MEML;242;7;4400;25;4400;;;;;;;;;;;;
PATC;TIN CITY LRRS;273;16;4702;34;4702;;;;;;;;;;;;
PATE;TELLER;299;7;2983;25;2983;;;;;;;;;;;;
PATG;TOGIAK;18;3;4400;10;982;21;4400;28;982;;;;;;;;
PATK;TALKEETNA;365;1;3500;19;3500;;;;;;;;;;;;
PATL;TATALINA LRRS;933;17;3820;35;3820;;;;;;;;;;;;
PATQ;ATQASUK BURNELL MEML;101;6;4370;24;4370;;;;;;;;;;;;
PATW;CANTWELL;2190;4;2080;22;2080;;;;;;;;;;;;
PAUK;ALAKANUK;22;16;4000;34;4000;;;;;;;;;;;;
PAUM;UMIAT;268;6;5583;24;5583;;;;;;;;;;;;
PAUN;UNALAKLEET;27;9;1900;15;5900;27;1900;33;5900;;;;;;;;
PAUO;WILLOW;215;13;4400;31;4400;;;;;;;;;;;;
PAUT;AKUTAN;129;9;4500;27;4500;;;;;;;;;;;;
PAVA;CHEVAK;48;2;3220;20;3220;;;;;;;;;;;;
PAVC;KING COVE;155;7;3500;25;3500;;;;;;;;;;;;
PAVD;VALDEZ PIONEER;121;6;6500;24;6500;;;;;;;;;;;;
PAVE;VENETIE;574;4;4000;22;4000;;;;;;;;;;;;
PAVL;KIVALINA;18;12;3000;30;3000;;;;;;;;;;;;
PAWB;BEAVER;365;5;3934;23;3934;;;;;;;;;;;;
PAWD;SEWARD;22;13;4533;16;2289;31;4533;34;2289;;;;;;;;
PAWG;WRANGELL;44;10;6000;28;6000;;;;;;;;;;;;
PAWI;WAINWRIGHT;45;5;4494;23;4494;;;;;;;;;;;;
PAWM;WHITE MOUNTAIN;267;15;3000;33;3000;;;;;;;;;;;;
PAWN;NOATAK;92;1;3992;19;3992;;;;;;;;;;;;
PAWR;WHITTIER;39;4;1480;22;1480;;;;;;;;;;;;
PAWS;WASILLA;354;4;3700;22;3700;;;;;;;;;;;;
PAXK;PAXSON;2653;13;1900;31;1900;;;;;;;;;;;;
PAYA;YAKUTAT;33;2;6475;11;7732;20;6475;29;7732;;;;;;;;
PCIS;CANTON AFLD;9;9;6158;27;6158;;;;;;;;;;;;
PFAK;AKIAK;40;3;3200;21;3200;;;;;;;;;;;;
PFAL;ALLAKAKET;441;5;4000;23;4000;;;;;;;;;;;;
PFCB;CHENEGA BAY;69;16;3000;34;3000;;;;;;;;;;;;
PFCL;CLARKS POINT;80;18;3200;36;3200;;;;;;;;;;;;
PFCR;DONLIN CREEK;734;11;4913;29;4913;;;;;;;;;;;;
PFEL;ELIM;162;1;3401;19;3401;;;;;;;;;;;;
PFKA;KASIGLUK;48;17;3000;35;3000;;;;;;;;;;;;
PFKK;KOKHANOK;115;6;3300;24;3300;;;;;;;;;;;;
PFKO;KOTLIK;14;2;4400;20;4400;;;;;;;;;;;;
PFKT;BREVIG MISSION;38;4;2110;12;2990;22;2110;30;2990;;;;;;;;
PFKU;KOYUKUK;149;6;4000;24;4000;;;;;;;;;;;;
PFKW;KWETHLUK;25;18;3199;36;3199;;;;;;;;;;;;
PFNO;CURTIS MEML;55;6;4000;24;4000;;;;;;;;;;;;
PFSH;SHAKTOOLIK;24;14;4001;32;4001;;;;;;;;;;;;
PFTO;TOK JUNCTION;1643;7;2509;25;2509;;;;;;;;;;;;
PFWS;SOUTH NAKNEK NR2;162;5;2264;13;3314;23;2264;31;3314;;;;;;;;
PFYU;FT YUKON;447;4;5000;22;5000;;;;;;;;;;;;
PGRO;MANGLONA INTL;607;9;7000;27;7000;;;;;;;;;;;;
PGSN;FRANCISCO C ADA/SAIPAN INTL;215;6;7001;7;8700;24;7001;25;8700;;;;;;;;
PGUA;ANDERSEN AFB;618;06L;10527;06R;11200;24L;11200;24R;10527;;;;;;;;
PGUM;GUAM INTL;305;06L;12017;06R;10014;24L;10014;24R;12017;;;;;;;;
PGWT;TINIAN INTL;271;8;8600;26;8600;;;;;;;;;;;;
PHBK;BARKING SANDS PACIFIC MISSILE;18;16;6002;34;6002;;;;;;;;;;;;
PHDH;DILLINGHAM;15;8;9007;26;9007;;;;;;;;;;;;
PHFS;TERN I.;6;6;3000;24;3000;;;;;;;;;;;;
PHHI;WHEELER AAF;843;6;5608;24;5608;;;;;;;;;;;;
PHHN;HANA;78;8;3606;26;3606;;;;;;;;;;;;
PHJH;KAPALUA;256;2;3000;20;3000;;;;;;;;;;;;
PHJR;KALAELOA JOHN RODGERS FIELD;30;04L;4500;04R;8000;11;6000;22L;8000;22R;4500;29;6000;;;;
PHKO;ONIZUKA KONA INTL AT KEAHOLE;47;17;11000;35;11000;;;;;;;;;;;;
PHLI;LIHUE;153;3;6500;17;6500;21;6500;35;6500;;;;;;;;
PHLU;KALAUPAPA;24;5;2700;23;2700;;;;;;;;;;;;
PHMK;MOLOKAI;454;5;4494;17;3118;23;4494;35;3118;;;;;;;;
PHMU;WAIMEA-KOHALA;2671;4;5197;22;5197;;;;;;;;;;;;
PHNG;KANEOHE BAY MCAS;23;4;7772;22;7772;;;;;;;;;;;;
PHNL;INOUYE INTL;13;4;3000;04L;6952;04R;9000;8;5000;08L;12312;08R;12000;22;3000;22L;9000
PHNY;LANAI;1308;3;5001;21;5001;;;;;;;;;;;;
PHOG;KAHULUI;54;2;6995;5;4990;20;6995;23;4990;;;;;;;;
PHPA;PORT ALLEN;24;9;2450;27;2450;;;;;;;;;;;;
PHSF;BRADSHAW AAF;6190;9;3696;27;3696;;;;;;;;;;;;
PHTO;HILO INTL;38;3;5600;8;9800;21;5600;26;9800;;;;;;;;
PHUP;UPOLU;96;7;3800;25;3800;;;;;;;;;;;;
PKMA;ENEWETAK AUX AF;13;6;7700;24;7700;;;;;;;;;;;;
PKMJ;MARSHALL IS INTL;7;7;7913;25;7913;;;;;;;;;;;;
PKRO;DYESS AAF;14;4;4499;22;4499;;;;;;;;;;;;
PKWA;BUCHOLZ AAF;16;6;6668;24;6668;;;;;;;;;;;;
PLCH;CASSIDY INTL;5;8;6896;26;6896;;;;;;;;;;;;
PLPA;PALMYRA;5;6;6000;24;6000;;;;;;;;;;;;
PMDY;HENDERSON FIELD;18;6;7800;24;7800;;;;;;;;;;;;
PPCT;TAKOTNA;423;4;3300;22;3300;;;;;;;;;;;;
PPIT;NUNAPITCHUK;22;18;2420;36;2420;;;;;;;;;;;;
PPIZ;POINT LAY;29;5;4500;23;4500;;;;;;;;;;;;
PTKK;CHUUK INTL;10;4;6013;22;6013;;;;;;;;;;;;
PTPN;POHNPEI INTL;9;9;6600;27;6600;;;;;;;;;;;;
PTRO;BABELTHUAP/KOROR;177;9;7200;27;7200;;;;;;;;;;;;
PTSA;KOSRAE;12;5;5752;23;5752;;;;;;;;;;;;
PTYA;YAP INTL;91;7;6000;25;6000;;;;;;;;;;;;
PWAK;WAKE I;23;10;9844;28;9844;;;;;;;;;;;;
RCAY;GANGSHAN;34;18;7548;36;7548;;;;;;;;;;;;
RCBS;KINMEN;56;6;9856;24;9856;;;;;;;;;;;;
RCCM;QIMEI;63;2;2569;20;2569;;;;;;;;;;;;
RCDI;LONGTAN;792;3;3252;21;3252;;;;;;;;;;;;
RCFG;NANGAN;232;3;5180;21;5180;;;;;;;;;;;;
RCFN;FONGNIAN;143;4;7999;22;7999;;;;;;;;;;;;
RCGI;LUDAO;28;17;3009;35;3009;;;;;;;;;;;;
RCKH;KAOHSIUNG INTL;31;9;10335;27;10335;;;;;;;;;;;;
RCKU;CHIAYI AERO;85;18;10007;36;10007;;;;;;;;;;;;
RCKW;HENGCHUN;46;14;5577;32;5577;;;;;;;;;;;;
RCLY;LANYU;44;13;3714;31;3714;;;;;;;;;;;;
RCMQ;CINGCYUANGANG;665;18;12005;36;12005;;;;;;;;;;;;
RCMT;BEIGAN;41;3;3773;21;3773;;;;;;;;;;;;
RCNN;TAINAN;64;18L;10007;18R;10007;36L;10007;36R;10007;;;;;;;;
RCPO;HSINCHU AERO;26;5;12014;23;12014;;;;;;;;;;;;
RCQC;MAGONG;103;2;9843;20;9843;;;;;;;;;;;;
RCQS;JHIHHANG;121;4;11055;22;11055;;;;;;;;;;;;
RCSP;TAIPING;9;7;3937;25;3937;;;;;;;;;;;;
RCSS;SONGSHAN;18;10;8547;28;8547;;;;;;;;;;;;
RCTP;TAIWAN TAOYUAN INTL;108;05L;12008;05R;12467;23L;12467;23R;12008;;;;;;;;
RCWA;WANG-AN;114;2;2697;20;2697;;;;;;;;;;;;
RCYU;HUALIEN;51;3;9026;21;9026;;;;;;;;;;;;
RJAA;NARITA INTL;135;16L;8202;16R;13123;34L;13123;34R;8202;;;;;;;;
RJAF;MATSUMOTO;2157;18;6562;36;6562;;;;;;;;;;;;
RJAH;HYAKURI;107;03L;8858;03R;8858;21L;8858;21R;8858;;;;;;;;
RJAK;KASUMIGAURA;85;6;1804;24;1804;;;;;;;;;;;;
RJAM;MINAMI TORISHIMA;22;5;4498;23;4498;;;;;;;;;;;;
RJAN;NIIJIMA;94;11;2625;29;2625;;;;;;;;;;;;
RJAW;IWOTO;388;7;8694;25;8694;;;;;;;;;;;;
RJAZ;KOZUSHIMA;454;11;2625;29;2625;;;;;;;;;;;;
RJBB;KANSAI INTL;17;06L;13123;06R;11483;24L;11483;24R;13123;;;;;;;;
RJBD;NANKI-SHIRAHAMA;293;15;6562;33;6562;;;;;;;;;;;;
RJBE;KOBE;18;9;8202;27;8202;;;;;;;;;;;;
RJBK;KOHNAN;1;9;3937;27;3937;;;;;;;;;;;;
RJBT;TAJIMA;578;1;3937;19;3937;;;;;;;;;;;;
RJCA;ASAHIKAWA;377;8;2625;26;2625;;;;;;;;;;;;
RJCB;OBIHIRO;490;17;8202;35;8202;;;;;;;;;;;;
RJCC;NEW CHITOSE;70;01L;9843;01R;9843;19L;9843;19R;9843;;;;;;;;
RJCH;HAKODATE;112;12;9843;30;9843;;;;;;;;;;;;
RJCJ;CHITOSE;89;18L;9843;18R;8858;36L;8858;36R;9843;;;;;;;;
RJCK;KUSHIRO;311;17;8202;35;8202;;;;;;;;;;;;
RJCM;MEMANBETSU;109;18;8202;36;8202;;;;;;;;;;;;
RJCN;NAKASHIBETSU;214;8;6562;26;6562;;;;;;;;;;;;
RJCO;SAPPORO;26;14;4921;32;4921;;;;;;;;;;;;
RJCT;TOKACHI;281;13;4921;31;4921;;;;;;;;;;;;
RJCW;WAKKANAI;27;8;7218;26;7218;;;;;;;;;;;;
RJDA;AMAKUSA;340;13;3281;31;3281;;;;;;;;;;;;
RJDB;IKI;41;2;3937;20;3937;;;;;;;;;;;;
RJDC;YAMAGUCHI-UBE;15;7;8202;25;8202;;;;;;;;;;;;
RJDK;KAMIGOTO;263;17;2625;35;2625;;;;;;;;;;;;
RJDM;METABARU;53;4;2170;22;2170;;;;;;;;;;;;
RJDO;OJIKA;25;3;2625;21;2625;;;;;;;;;;;;
RJDT;TSUSHIMA;207;14;6234;32;6234;;;;;;;;;;;;
RJDU;OMURA;19;18;3937;36;3937;;;;;;;;;;;;
RJEB;MONBETSU;58;14;6562;32;6562;;;;;;;;;;;;
RJEC;ASAHIKAWA;690;16;8202;34;8202;;;;;;;;;;;;
RJEO;OKUSHIRI;161;13;4921;31;4921;;;;;;;;;;;;
RJER;RISHIRI;99;7;5906;25;5906;;;;;;;;;;;;
RJFA;ASHIYA;98;12;5381;30;5381;;;;;;;;;;;;
RJFC;YAKUSHIMA;122;14;4921;32;4921;;;;;;;;;;;;
RJFE;FUKUE;251;3;6562;21;6562;;;;;;;;;;;;
RJFF;FUKUOKA;30;16;9186;34;9186;;;;;;;;;;;;
RJFG;TANEGASHIMA;768;13;6562;31;6562;;;;;;;;;;;;
RJFK;KAGOSHIMA;891;16;9843;34;9843;;;;;;;;;;;;
RJFM;MIYAZAKI;19;9;8202;27;8202;;;;;;;;;;;;
RJFN;NYUTABARU;259;10;8860;28;8860;;;;;;;;;;;;
RJFO;OITA;17;1;9843;19;9843;;;;;;;;;;;;
RJFR;KITAKYUSHU;21;18;8202;36;8202;;;;;;;;;;;;
RJFS;SAGA;6;11;6562;29;6562;;;;;;;;;;;;
RJFT;KUMAMOTO;632;7;9843;25;9843;;;;;;;;;;;;
RJFU;NAGASAKI;8;14;9843;32;9843;;;;;;;;;;;;
RJFY;KANOYA;214;08L;3937;08R;7382;26L;7382;26R;3937;;;;;;;;
RJFZ;TSUIKI;55;7;7874;25;7874;;;;;;;;;;;;
RJGG;CHUBU CENTRAIR INTL;12;18;11483;36;11483;;;;;;;;;;;;
RJKA;AMAMI;14;3;6562;21;6562;;;;;;;;;;;;
RJKB;OKIERABU;88;4;4430;22;4430;;;;;;;;;;;;
RJKI;KIKAI;15;7;3937;25;3937;;;;;;;;;;;;
RJKN;TOKUNOSHIMA;8;1;6562;19;6562;;;;;;;;;;;;
RJNA;NAGOYA;46;16;8990;34;8990;;;;;;;;;;;;
RJNF;FUKUI;18;18;3937;36;3937;;;;;;;;;;;;
RJNG;GIFU;128;10;8858;28;8858;;;;;;;;;;;;
RJNH;HAMAMATSU;150;9;8366;27;8366;;;;;;;;;;;;
RJNK;KOMATSU;22;6;8858;24;8858;;;;;;;;;;;;
RJNO;OKI;262;8;6562;26;6562;;;;;;;;;;;;
RJNS;SHIZUOKA;433;12;8202;30;8202;;;;;;;;;;;;
RJNT;TOYAMA;77;2;6562;20;6562;;;;;;;;;;;;
RJNW;NOTO;718;7;6562;25;6562;;;;;;;;;;;;
RJNY;SHIZUHAMA;23;9;4921;27;4921;;;;;;;;;;;;
RJOA;HIROSHIMA;1086;10;9843;28;9843;;;;;;;;;;;;
RJOB;OKAYAMA;785;7;9843;25;9843;;;;;;;;;;;;
RJOC;IZUMO;6;7;6562;25;6562;;;;;;;;;;;;
RJOE;AKENO;20;4;1640;13;1640;22;1640;31;1640;;;;;;;;
RJOF;HOFU;7;1;3870;12;4860;19;3870;30;4860;;;;;;;;
RJOH;MIHO;13;7;8202;25;8202;;;;;;;;;;;;
RJOI;IWAKUNI MCAS;10;2;8006;20;8006;;;;;;;;;;;;
RJOK;KOCHI;29;14;8202;32;8202;;;;;;;;;;;;
RJOM;MATSUYAMA;13;14;8202;32;8202;;;;;;;;;;;;
RJOO;OSAKA INTL;39;14L;5997;14R;9843;32L;9843;32R;5997;;;;;;;;
RJOP;KOMATSUSHIMA;9;17;820;35;820;;;;;;;;;;;;
RJOR;TOTTORI;48;10;6562;28;6562;;;;;;;;;;;;
RJOS;TOKUSHIMA;37;11;8202;29;8202;;;;;;;;;;;;
RJOT;TAKAMATSU;607;8;8202;26;8202;;;;;;;;;;;;
RJOW;IWAMI;177;11;6562;29;6562;;;;;;;;;;;;
RJOY;YAO;33;9;4888;13;3937;27;4888;31;3937;;;;;;;;
RJOZ;OZUKI;13;12;2953;17;3937;30;2953;35;3937;;;;;;;;
RJSA;AOMORI;650;6;9843;24;9843;;;;;;;;;;;;
RJSC;YAMAGATA;345;1;6562;19;6562;;;;;;;;;;;;
RJSD;SADO;75;10;2920;28;2920;;;;;;;;;;;;
RJSF;FUKUSHIMA;1220;1;8202;19;8202;;;;;;;;;;;;
RJSH;HACHINOHE;152;7;7382;25;7382;;;;;;;;;;;;
RJSI;HANAMAKI;294;2;8202;20;8202;;;;;;;;;;;;
RJSK;AKITA;305;10;8202;28;8202;;;;;;;;;;;;
RJSM;MISAWA AB;119;10;9999;28;9999;;;;;;;;;;;;
RJSN;NIIGATA;5;4;4311;10;8202;22;4311;28;8202;;;;;;;;
RJSO;OMINATO;24;4;1969;22;1969;;;;;;;;;;;;
RJSR;ODATE-NOSHIRO;276;11;6562;29;6562;;;;;;;;;;;;
RJSS;SENDAI;6;9;9843;12;3937;27;9843;30;3937;;;;;;;;
RJST;MATSUSHIMA;7;7;8858;15;4921;25;8858;33;4921;;;;;;;;
RJSU;KASUMINOME;23;14;2323;32;2323;;;;;;;;;;;;
RJSY;SHONAI;72;9;6562;27;6562;;;;;;;;;;;;
RJTA;ATSUGI;205;1;7999;19;7999;;;;;;;;;;;;
RJTC;TACHIKAWA;313;1;2953;19;2953;;;;;;;;;;;;
RJTF;CHOFU;139;17;2625;35;2625;;;;;;;;;;;;
RJTH;HACHIJOJIMA;301;8;6562;26;6562;;;;;;;;;;;;
RJTJ;IRUMA;295;17;6561;35;6561;;;;;;;;;;;;
RJTK;KISARAZU;10;2;6004;20;6004;;;;;;;;;;;;
RJTL;SHIMOFUSA;98;1;7382;19;7382;;;;;;;;;;;;
RJTO;OSHIMA;124;3;5906;21;5906;;;;;;;;;;;;
RJTQ;MIYAKE;65;2;3937;20;3937;;;;;;;;;;;;
RJTR;KASTNER AHP;360;2;1500;20;1500;;;;;;;;;;;;
RJTT;TOKYO HANEDA INTL;21;4;8202;5;8202;16L;11024;16R;9843;22;8202;23;8202;34L;9843;34R;11024
RJTU;UTSUNOMIYA;334;1;5577;19;5577;;;;;;;;;;;;
RJTY;YOKOTA AB;462;18;11000;36;11000;;;;;;;;;;;;
RKJB;MUAN INTL;51;1;9186;19;9186;;;;;;;;;;;;
RKJJ;GWANGJU;48;04L;9301;04R;9301;22L;9301;22R;9301;;;;;;;;
RKJK;KUNSAN AB;30;18;9008;36;9008;;;;;;;;;;;;
RKJU;JHUNJU;96;8;4925;26;4925;;;;;;;;;;;;
RKJY;YEOSU;53;17;6890;35;6890;;;;;;;;;;;;
RKNC;A-306;245;3;4053;21;4053;;;;;;;;;;;;
RKNN;GANGNEUNG;35;8;9000;26;9000;;;;;;;;;;;;
RKNW;WONJU;330;3;9000;21;9000;;;;;;;;;;;;
RKNY;YANGYANG INTL;241;15;8202;33;8202;;;;;;;;;;;;
RKPC;JEJU INTL;118;7;10433;13;6234;25;10433;31;6234;;;;;;;;
RKPD;JEONGSEOK;1174;1;7546;15;2953;19;7546;33;2953;;;;;;;;
RKPE;R-813;8;17;3600;35;3600;;;;;;;;;;;;
RKPK;GIMHAE INTL;13;18L;8999;18R;10499;36L;10499;36R;8999;;;;;;;;
RKPP;BUSAN AERO;6;15;6520;33;6520;;;;;;;;;;;;
RKPS;SACHEON;25;06L;9003;06R;9003;24L;9003;24R;9003;;;;;;;;
RKPU;ULSAN;42;18;6562;36;6562;;;;;;;;;;;;
RKRO;R-217 AERO;328;4;3640;22;3640;;;;;;;;;;;;
RKSD;R-222;287;18;3500;36;3500;;;;;;;;;;;;
RKSG;A-511 DESIDERIO AAF;53;14;8124;32;8124;;;;;;;;;;;;
RKSI;INCHEON INTL;23;15L;12303;15R;12303;16;13123;33L;12303;33R;12303;34;13123;;;;
RKSK;SUSAEK AERO;64;14;3700;32;3700;;;;;;;;;;;;
RKSM;SEOUL / DOMESTIC;93;1;9000;2;9700;19;9000;20;9700;;;;;;;;
RKSO;OSAN AB;41;09L;9004;27R;9004;;;;;;;;;;;;
RKSS;GIMPO INTL;59;14L;11811;14R;10499;32L;10499;32R;11811;;;;;;;;
RKSW;SUWON;88;15L;9000;15R;9000;33L;9000;33R;9000;;;;;;;;
RKTH;POHANG;75;10;6998;28;6998;;;;;;;;;;;;
RKTI;JUNGWON AB;281;18L;9021;18R;9330;36L;9330;36R;9021;;;;;;;;
RKTL;ULJIN;175;17;5906;35;5906;;;;;;;;;;;;
RKTN;DAEGU INTL;120;13L;8999;13R;9039;31L;9039;31R;8999;;;;;;;;
RKTP;SEOSAN AB;42;03L;9000;03R;9000;21L;9000;21R;9000;;;;;;;;
RKTU;CHEONGJU INTL;192;06L;9003;06R;9003;24L;9003;24R;9003;;;;;;;;
RKTY;YECHEON AERO;354;10;9000;28;9000;;;;;;;;;;;;
ROAH;NAHA;11;18;9843;36;9843;;;;;;;;;;;;
RODE;IE SHIMA AUX AB;230;4;5000;22;5000;;;;;;;;;;;;
RODN;KADENA AB;143;05L;12101;05R;12101;23L;12101;23R;12101;;;;;;;;
ROIG;NEW ISHIGAKI;102;4;6562;22;6562;;;;;;;;;;;;
ROKJ;KUMEJIMA;23;3;6562;21;6562;;;;;;;;;;;;
ROKR;KERAMA;156;2;2625;20;2625;;;;;;;;;;;;
ROMD;MINAMIDAITO;158;2;4921;20;4921;;;;;;;;;;;;
ROMY;MIYAKO;140;4;6562;22;6562;;;;;;;;;;;;
RORA;AGUNI;38;1;2625;19;2625;;;;;;;;;;;;
RORE;IEJIMA;238;4;4920;22;4920;;;;;;;;;;;;
RORH;HATERUMA;43;2;2625;20;2625;;;;;;;;;;;;
RORK;KITADAITO;71;3;4921;21;4921;;;;;;;;;;;;
RORS;SHIMOJISHIMA;25;17;9843;35;9843;;;;;;;;;;;;
RORT;TARAMA;34;18;4921;36;4921;;;;;;;;;;;;
RORY;YORON;47;14;3937;32;3937;;;;;;;;;;;;
ROTM;FUTENMA MCAS;248;6;9002;24;9002;;;;;;;;;;;;
ROYN;YONAGUNI;49;8;6562;26;6562;;;;;;;;;;;;
RPLA;PINAMALAYAN COMMUNITY;92;1;3937;19;3937;;;;;;;;;;;;
RPLB;SUBIC BAY INTL;64;7;9006;25;9006;;;;;;;;;;;;
RPLC;DIOSDADO MACAPAGAL INTL;484;02R;10499;20L;10499;;;;;;;;;;;;
RPLG;WASIG COMMUNITY;17;7;3281;25;3281;;;;;;;;;;;;
RPLI;LAOAG INTL;24;1;9134;19;9134;;;;;;;;;;;;
RPLJ;JOMALIG COMMUNITY;37;5;1870;23;1870;;;;;;;;;;;;
RPLL;NINOY AQUINO INTL;75;6;11188;13;6270;24;11188;31;6270;;;;;;;;
RPLM;CAMP CAPINPIN;1297;4;1312;22;1312;;;;;;;;;;;;
RPLO;CUYO;118;4;2625;22;2625;;;;;;;;;;;;
RPLP;LEGAZPI PRINCIPAL;66;6;6496;24;6496;;;;;;;;;;;;
RPLR;ROSALES COMMUNITY;84;6;2625;24;2625;;;;;;;;;;;;
RPLS;SANGLEY AB;8;7;7576;25;7576;;;;;;;;;;;;
RPLT;ITBAYAT COMMUNITY;323;18;2628;36;2628;;;;;;;;;;;;
RPLU;LUBANG COMMUNITY;43;7;3970;25;3970;;;;;;;;;;;;
RPLV;FORT MAGSAYSAY;199;5;5249;23;5249;;;;;;;;;;;;
RPLY;ALABAT COMMUNITY;6;5;2198;23;2198;;;;;;;;;;;;
RPLZ;BACON COMMUNITY;120;1;3281;19;3281;;;;;;;;;;;;
RPMA;ALLAH VALLEY COMMUNITY;591;16;4396;34;4396;;;;;;;;;;;;
RPMC;COTABATO;183;10;6434;28;6434;;;;;;;;;;;;
RPMD;BANGOY INTL;93;5;9839;23;9839;;;;;;;;;;;;
RPME;BUTUAN;45;12;6877;30;6877;;;;;;;;;;;;
RPMF;BISLIG COMMUNITY;11;5;3937;23;3937;;;;;;;;;;;;
RPMG;DIPOLOG PRINCIPAL;12;2;6178;20;6178;;;;;;;;;;;;
RPMI;ILIGAN COMMUNITY;1299;2;4593;20;4593;;;;;;;;;;;;
RPMJ;JOLO;118;9;5906;27;5906;;;;;;;;;;;;
RPML;CAGAYAN DE ORO;601;1;7612;19;7612;;;;;;;;;;;;
RPMM;MALABANG COMMUNITY;11;6;4265;24;4265;;;;;;;;;;;;
RPMN;SANGA SANGA PRINCIPAL;29;2;6102;20;6102;;;;;;;;;;;;
RPMO;OZAMIS COMMUNITY;16;3;5725;21;5725;;;;;;;;;;;;
RPMP;PAGADIAN;5;2;6575;20;6575;;;;;;;;;;;;
RPMR;TAMBLER INTL;503;17;10587;35;10587;;;;;;;;;;;;
RPMS;SURIGAO;20;18;5312;36;5312;;;;;;;;;;;;
RPMU;CAGAYAN DE SULU COMMUNITY;100;13;4265;31;4265;;;;;;;;;;;;
RPMV;IPIL COMMUNITY;39;18;2618;36;2618;;;;;;;;;;;;
RPMW;TANDAG;16;3;4462;21;4462;;;;;;;;;;;;
RPMX;LILOY COMMUNITY;175;5;1883;23;1883;;;;;;;;;;;;
RPMY;LAGUINDINGAN;191;9;6890;27;6890;;;;;;;;;;;;
RPMZ;ZAMBOANGA INTL;33;9;8560;27;8560;;;;;;;;;;;;
RPNO;SIOCON COMMUNITY;60;9;1903;27;1903;;;;;;;;;;;;
RPNS;SIARGAO NATL;33;1;4167;19;4167;;;;;;;;;;;;
RPSB;BANTAYAN COMMUNITY;70;16;2953;34;2953;;;;;;;;;;;;
RPSM;MAASIN COMMUNITY;328;16;3642;34;3642;;;;;;;;;;;;
RPSN;UBAY COMMUNITY;25;5;4839;23;4839;;;;;;;;;;;;
RPSV;SAN VICENTE;24;4;5289;22;5289;;;;;;;;;;;;
RPUB;BAGUIO PRINCIPAL;4251;9;5512;27;5512;;;;;;;;;;;;
RPUD;DAET COMMUNITY;10;6;3773;24;3773;;;;;;;;;;;;
RPUF;BASA AB;151;3;8359;21;8359;;;;;;;;;;;;
RPUG;LINGAYEN COMMUNITY;7;8;2625;26;2625;;;;;;;;;;;;
RPUH;SAN JOSE PRINCIPAL;12;10;6024;28;6024;;;;;;;;;;;;
RPUI;IBA COMMUNITY;11;14;2953;32;2953;;;;;;;;;;;;
RPUK;CALAPAN COMMUNITY;10;11;2953;29;2953;;;;;;;;;;;;
RPUL;FERNANDO AB;1220;3;4950;21;4950;;;;;;;;;;;;
RPUM;MAMBURAO COMMUNITY;13;16;4265;34;4265;;;;;;;;;;;;
RPUN;NAGA PRINCIPAL;175;4;4600;22;4600;;;;;;;;;;;;
RPUO;BASCO;309;6;4081;24;4081;;;;;;;;;;;;
RPUQ;VIGAN COMMUNITY;34;2;3822;20;3822;;;;;;;;;;;;
RPUR;BALER COMMUNITY;30;5;3776;23;3776;;;;;;;;;;;;
RPUS;SAN FERNANDO COMMUNITY;15;1;6955;19;6955;;;;;;;;;;;;
RPUT;TUGUEGARAO;75;17;6447;35;6447;;;;;;;;;;;;
RPUU;BULAN COMMUNITY;16;3;2920;21;2920;;;;;;;;;;;;
RPUV;VIRAC PRINCIPAL;153;6;5758;24;5758;;;;;;;;;;;;
RPUW;MARINDUQUE;15;16;4593;34;4593;;;;;;;;;;;;
RPUX;PLARIDEL COMMUNITY;20;17;2953;35;2953;;;;;;;;;;;;
RPUY;CAUAYAN COMMUNITY;200;12;6883;30;6883;;;;;;;;;;;;
RPUZ;BAGABAG COMMUNITY;738;9;3934;27;3934;;;;;;;;;;;;
RPVA;DANIEL Z. ROMUALDEZ;13;18;7028;36;7028;;;;;;;;;;;;
RPVB;BACOLOD PRINCIPAL;86;3;6568;21;6568;;;;;;;;;;;;
RPVC;CALBAYOG PRINCIPAL;11;17;5003;35;5003;;;;;;;;;;;;
RPVD;DUMAGUETE;43;9;6053;27;6053;;;;;;;;;;;;
RPVE;GODOFREDO P. RAMOS;24;6;5554;24;5554;;;;;;;;;;;;
RPVF;CATARMAN PRINCIPAL;18;4;5161;22;5161;;;;;;;;;;;;
RPVG;GUIUAN COMMUNITY;7;7;7001;25;7001;;;;;;;;;;;;
RPVH;HILONGOS COMMUNITY;12;18;3281;36;3281;;;;;;;;;;;;
RPVI;ILOILO;153;2;8202;20;8202;;;;;;;;;;;;
RPVJ;MASBATE PRINCIPAL;50;4;4199;22;4199;;;;;;;;;;;;
RPVK;KALIBO INTL;32;5;8202;23;8202;;;;;;;;;;;;
RPVM;MACTAN-CEBU INTL;35;4;10860;22;10860;;;;;;;;;;;;
RPVO;ORMOC;83;18;6699;36;6699;;;;;;;;;;;;
RPVP;PUERTO PRINCESA INTL;67;9;8533;27;8533;;;;;;;;;;;;
RPVQ;BILIRAN COMMUNITY;291;13;3281;31;3281;;;;;;;;;;;;
RPVR;ROXAS PRINCIPAL;9;14;6211;32;6211;;;;;;;;;;;;
RPVS;ANTIQUE;23;18;3937;36;3937;;;;;;;;;;;;
